,Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
0,24,2,3,3,1,1,2,3,0,1
1,45,1,3,10,1,1,3,4,0,1
2,43,2,3,7,1,1,3,4,0,1
3,42,3,2,9,1,1,3,3,0,1
4,36,3,3,8,1,1,3,2,0,1
5,19,4,4,0,1,1,3,3,0,1
6,38,2,3,6,1,1,3,2,0,1
7,21,3,3,1,1,0,3,2,0,1
8,27,2,3,3,1,1,3,4,0,1
9,45,1,1,8,1,1,2,2,1,1
10,38,1,3,2,1,0,3,3,1,1
11,42,1,4,4,1,1,1,3,0,1
12,44,4,4,1,1,0,1,4,0,1
13,42,2,4,1,1,0,3,3,0,1
14,38,3,4,2,1,1,2,3,0,1
15,26,2,4,0,1,1,4,1,0,1
16,48,1,1,7,1,1,2,4,0,1
17,39,2,2,6,1,1,2,4,0,1
18,37,2,2,8,1,1,2,3,0,1
19,39,2,1,5,1,1,2,1,1,1
20,26,3,4,1,1,0,4,1,0,1
21,24,3,4,0,1,0,3,1,0,1
22,46,4,4,1,0,1,1,4,0,1
23,39,4,4,1,1,1,1,4,0,1
24,48,4,4,5,1,1,1,4,0,1
25,40,2,4,8,1,1,3,3,0,1
26,38,4,4,1,1,0,1,4,0,1
27,29,4,4,0,1,0,1,4,0,1
28,24,4,4,0,1,0,2,2,0,1
29,43,1,2,8,1,1,2,4,0,1
30,31,3,4,2,1,1,1,4,0,1
31,31,4,4,2,1,1,3,2,0,1
32,26,2,4,0,1,0,1,2,0,1
33,33,2,2,2,1,1,3,1,0,1
34,24,2,3,1,1,1,3,3,0,1
35,42,1,3,9,1,1,3,2,1,1
36,43,1,2,8,1,0,3,1,0,1
37,25,3,3,4,1,1,3,2,0,1
38,42,2,2,3,1,1,3,4,0,1
39,28,2,2,1,1,1,2,4,0,1
40,28,1,1,3,1,1,3,1,0,1
41,47,2,3,0,1,0,1,3,0,1
42,48,2,4,2,1,1,1,3,0,1
43,40,4,4,2,0,1,1,4,0,1
44,28,2,2,1,1,1,3,2,0,1
45,25,1,4,1,1,1,2,1,0,1
46,32,4,4,2,1,1,2,3,0,1
47,45,4,4,0,1,1,2,4,0,1
48,26,4,4,1,1,1,1,4,0,1
49,26,4,4,0,1,0,1,4,0,1
50,31,4,4,0,1,0,1,4,0,1
51,49,4,4,7,0,1,2,4,0,1
52,40,3,4,8,1,1,3,3,0,1
53,34,4,4,1,0,0,2,3,0,1
54,36,2,4,5,1,1,2,3,0,1
55,20,2,2,2,1,1,2,2,1,1
56,43,4,4,5,1,0,1,4,0,1
57,37,3,4,7,1,1,2,1,0,1
58,21,2,3,0,1,1,3,4,0,1
59,49,4,4,6,1,1,1,2,0,1
60,42,3,3,10,1,1,3,3,0,1
61,20,2,3,1,1,1,2,3,0,1
62,47,1,2,2,1,0,1,3,0,1
63,22,2,3,1,1,1,2,1,0,1
64,27,2,4,1,1,0,1,3,0,1
65,24,2,4,1,1,1,3,1,0,1
66,44,4,2,8,1,1,3,3,0,1
67,30,2,3,3,1,1,3,1,0,1
68,23,3,4,2,1,1,3,4,0,1
69,25,4,4,1,1,0,3,3,0,1
70,47,2,3,4,1,1,2,3,0,1
71,48,2,3,8,1,1,1,4,0,1
72,29,2,3,1,1,1,1,1,0,1
73,29,2,3,1,1,1,1,2,0,1
74,21,3,4,0,1,1,2,3,0,1
75,21,3,4,1,1,1,2,3,0,1
76,29,4,4,0,1,0,2,4,0,1
77,45,3,4,3,1,1,1,4,0,1
78,33,2,3,2,1,1,3,2,0,1
79,38,4,4,1,1,0,1,4,0,1
80,24,4,4,0,0,1,1,4,0,1
81,49,4,4,6,0,0,1,4,0,1
82,24,2,4,1,1,0,4,4,0,1
83,28,4,4,0,0,0,1,4,0,1
84,30,4,4,2,1,1,1,4,0,1
85,33,4,4,2,1,1,1,4,0,1
86,25,4,4,1,1,1,1,3,0,1
87,35,4,4,3,0,1,1,4,0,1
88,27,2,4,4,1,1,1,4,0,1
89,24,2,2,3,1,0,2,1,0,1
90,25,2,3,0,1,1,2,1,0,1
91,46,2,4,6,1,1,1,4,0,1
92,26,2,2,3,1,1,2,1,0,1
93,38,2,2,1,1,0,3,2,0,1
94,47,1,2,3,1,1,1,3,0,1
95,41,1,3,10,1,1,2,3,1,1
96,41,2,3,1,1,0,2,3,0,1
97,28,4,4,5,1,1,2,1,0,1
98,17,2,2,3,1,1,3,1,0,1
99,27,2,3,5,1,1,2,1,0,1
100,27,1,2,4,1,1,3,1,1,1
101,19,2,3,0,1,0,2,2,0,1
102,27,2,4,3,1,0,3,2,0,1
103,26,4,3,4,1,1,2,3,0,1
104,23,2,4,2,1,1,3,3,0,1
105,40,3,3,3,1,1,3,2,0,1
106,22,4,4,0,1,1,1,1,0,1
107,44,3,4,4,1,0,1,3,0,1
108,29,2,3,2,1,1,3,1,0,1
109,26,2,3,3,1,1,3,1,0,1
110,45,4,4,1,1,0,3,3,0,1
111,32,3,3,7,1,0,2,3,0,1
112,21,4,4,1,1,1,1,4,0,1
113,31,2,2,4,1,1,3,3,0,1
114,21,3,4,0,1,1,1,3,0,1
115,37,4,4,1,1,1,1,4,0,1
116,34,4,4,3,0,0,3,3,0,1
117,44,3,4,1,1,1,1,3,0,1
118,49,4,3,5,1,1,2,3,0,1
119,26,2,3,2,1,1,3,3,0,1
120,38,1,2,1,1,1,2,4,1,1
121,36,2,3,5,1,1,2,3,0,1
122,26,3,4,2,1,1,3,3,0,1
123,20,2,3,1,0,1,3,2,0,1
124,44,2,1,3,1,0,3,2,0,1
125,31,3,4,2,1,1,1,2,1,1
126,45,4,4,1,1,1,1,3,0,1
127,36,2,3,2,1,1,3,2,1,1
128,43,1,3,2,1,0,2,2,1,1
129,25,3,4,0,1,1,1,3,0,1
130,48,3,4,3,1,1,3,1,0,1
131,30,4,4,0,0,0,1,3,0,1
132,48,1,2,8,1,1,3,1,0,1
133,28,3,4,1,1,1,3,1,1,1
134,26,4,4,1,1,1,1,3,0,1
135,26,3,3,3,1,0,2,4,0,1
136,24,4,4,2,1,1,3,3,0,1
137,21,3,3,2,1,1,2,2,0,1
138,30,4,4,2,0,1,3,1,0,1
139,20,4,4,1,1,1,1,4,0,1
140,33,4,4,2,1,1,1,3,0,1
141,30,4,4,0,0,0,3,3,0,1
142,47,4,4,1,1,0,1,3,0,1
143,35,4,4,2,0,1,3,3,0,1
144,30,2,4,2,1,1,3,4,0,1
145,33,4,4,3,1,1,1,4,0,1
146,45,4,4,4,1,1,2,3,0,1
147,41,4,4,2,1,1,1,4,0,1
148,32,4,4,1,1,0,1,3,0,1
149,43,4,4,5,1,1,1,4,0,1
150,44,4,4,3,1,1,2,4,0,1
151,21,1,3,4,1,1,3,2,0,1
152,44,3,4,2,1,1,1,4,1,1
153,23,4,4,2,1,1,2,4,0,1
154,47,1,2,4,1,1,2,2,0,1
155,47,1,1,7,1,1,2,3,1,1
156,35,4,4,2,1,0,2,4,0,1
157,32,2,4,4,1,1,3,2,0,1
158,45,1,4,5,1,1,1,2,1,1
159,22,2,2,2,1,1,3,1,0,1
160,23,1,1,3,1,1,2,1,1,1
161,30,4,4,0,1,0,1,4,0,1
162,44,1,3,0,1,1,2,3,0,1
163,40,3,3,1,1,0,3,3,0,1
164,34,4,4,4,1,1,2,3,0,1
165,37,3,4,1,1,1,2,4,0,1
166,49,3,4,5,1,1,1,4,0,1
167,26,4,4,1,1,1,1,4,0,1
168,22,4,4,0,1,1,2,4,0,1
169,20,3,4,0,1,0,2,4,0,1
170,47,4,4,4,1,1,1,4,0,1
171,49,2,2,8,1,0,3,1,0,1
172,22,2,4,1,1,1,2,4,0,1
173,22,3,3,2,1,1,3,4,0,1
174,25,3,2,2,1,1,3,2,0,1
175,32,2,4,0,1,0,3,4,0,1
176,28,4,4,0,0,1,1,3,0,1
177,30,2,4,4,1,0,1,4,0,1
178,45,2,4,2,1,0,2,4,0,1
179,49,2,1,10,1,0,2,4,0,1
180,34,4,4,2,1,0,1,4,0,1
181,25,2,4,1,1,1,2,2,0,1
182,42,1,3,12,1,1,3,3,0,1
183,48,2,1,3,1,0,4,3,0,1
184,35,3,4,5,1,0,2,2,0,1
185,33,2,3,1,1,1,3,4,0,1
186,20,2,4,0,1,1,3,2,0,1
187,36,2,3,4,1,1,3,1,1,1
188,19,3,3,2,1,1,3,2,0,1
189,27,3,2,3,1,1,3,2,0,1
190,30,1,2,4,1,1,4,1,0,1
191,31,3,4,3,1,0,3,2,0,1
192,44,1,1,11,1,1,4,1,1,1
193,24,3,3,2,1,1,3,3,0,1
194,18,3,4,0,1,0,3,1,0,1
195,45,1,2,6,1,1,3,3,1,1
196,25,2,2,3,1,0,3,1,0,1
197,36,3,4,6,1,1,2,4,0,1
198,30,1,1,5,1,1,2,2,0,1
199,32,2,4,2,1,1,3,3,0,1
200,42,1,4,11,0,1,2,2,1,1
201,22,2,4,0,1,1,3,3,0,1
202,36,2,4,2,1,0,2,4,0,1
203,27,2,3,2,1,1,3,3,0,1
204,40,3,4,1,1,1,1,2,0,1
205,22,2,3,2,1,1,3,1,0,1
206,26,2,4,0,1,1,3,1,0,1
207,31,3,4,0,1,0,2,3,0,1
208,32,4,4,1,1,1,1,4,0,1
209,34,2,3,3,1,0,3,2,0,1
210,40,3,3,1,0,1,3,4,0,1
211,45,1,2,1,1,0,3,3,0,1
212,26,3,4,3,1,1,3,2,0,1
213,48,1,3,5,1,1,3,2,0,1
214,43,1,3,8,1,1,3,1,0,1
215,27,3,4,2,1,0,2,2,0,1
216,42,3,2,1,1,1,3,3,0,1
217,34,3,2,8,1,0,2,3,1,1
218,32,3,2,4,1,1,2,2,1,1
219,31,3,3,2,1,0,2,3,0,1
220,22,2,3,1,1,1,3,3,0,1
221,27,3,4,0,1,1,3,3,0,1
222,37,1,2,2,1,1,2,2,1,1
223,22,1,2,0,1,1,2,4,0,1
224,47,4,4,4,1,1,1,4,0,1
225,32,4,4,4,1,0,1,3,0,1
226,37,3,3,2,1,1,1,4,0,1
227,45,1,3,1,1,1,2,3,1,1
228,47,1,4,8,1,1,3,3,0,1
229,28,3,4,0,1,1,3,2,0,1
230,48,1,3,4,1,1,3,4,1,1
231,26,2,4,1,1,1,1,3,0,1
232,21,3,4,0,1,0,3,1,0,1
233,20,2,3,1,1,1,2,4,0,1
234,39,1,1,5,1,0,3,1,1,1
235,27,2,3,1,1,0,3,4,0,1
236,37,2,3,5,1,0,3,2,0,1
237,24,4,4,1,1,1,3,3,0,1
238,39,3,3,6,1,1,3,3,0,1
239,20,3,3,1,1,1,2,3,0,1
240,19,3,4,1,1,1,2,3,0,1
241,40,3,3,4,1,1,2,2,0,1
242,41,1,4,4,1,1,3,3,0,1
243,22,4,4,2,1,1,1,3,0,1
244,32,3,4,4,1,1,1,4,0,1
245,34,4,4,2,0,1,1,4,0,1
246,34,4,4,2,1,0,1,3,0,1
247,23,4,4,2,1,1,1,4,0,1
